
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: mode: prune
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: model: vgg19
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: verbose: False
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: dataset: cifar100
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: dataroot: data
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: batch_size: 128
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: total_epochs: 100
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: lr_decay_milestones: 40,80
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: lr_decay_gamma: 0.1
[09/09 19:04:45] cifar100-global-group2-vgg19 INFO: Epoch 100/120, Acc=0.7066, Val Loss=1.2096, lr=0.0001
[09/09 19:14:11] cifar100-global-group2-vgg19 INFO: Epoch 101/120, Acc=0.7102, Val Loss=1.2048, lr=0.0001
[09/09 19:24:00] cifar100-global-group2-vgg19 INFO: Epoch 102/120, Acc=0.7069, Val Loss=1.2143, lr=0.0001
[09/09 19:33:12] cifar100-global-group2-vgg19 INFO: Epoch 103/120, Acc=0.7091, Val Loss=1.2105, lr=0.0001
[09/09 19:42:39] cifar100-global-group2-vgg19 INFO: Epoch 104/120, Acc=0.7068, Val Loss=1.2161, lr=0.0001
[09/09 19:52:01] cifar100-global-group2-vgg19 INFO: Epoch 105/120, Acc=0.7090, Val Loss=1.2152, lr=0.0001
[09/09 20:01:26] cifar100-global-group2-vgg19 INFO: Epoch 106/120, Acc=0.7106, Val Loss=1.2147, lr=0.0001
[09/09 20:11:04] cifar100-global-group2-vgg19 INFO: Epoch 107/120, Acc=0.7074, Val Loss=1.2191, lr=0.0001
[09/09 20:20:32] cifar100-global-group2-vgg19 INFO: Epoch 108/120, Acc=0.7085, Val Loss=1.2169, lr=0.0001
[09/09 20:29:46] cifar100-global-group2-vgg19 INFO: Epoch 109/120, Acc=0.7080, Val Loss=1.2219, lr=0.0001
[09/09 20:36:36] cifar100-global-group2-vgg19 INFO: Epoch 110/120, Acc=0.7099, Val Loss=1.2185, lr=0.0001
[09/09 20:44:04] cifar100-global-group2-vgg19 INFO: Epoch 111/120, Acc=0.7094, Val Loss=1.2246, lr=0.0001
[09/09 20:51:48] cifar100-global-group2-vgg19 INFO: Epoch 112/120, Acc=0.7110, Val Loss=1.2253, lr=0.0001
[09/09 20:53:40] cifar100-global-group2-vgg19 INFO: Epoch 113/120, Acc=0.7111, Val Loss=1.2306, lr=0.0001
[09/09 20:55:32] cifar100-global-group2-vgg19 INFO: Epoch 114/120, Acc=0.7082, Val Loss=1.2376, lr=0.0001
[09/09 20:57:19] cifar100-global-group2-vgg19 INFO: Epoch 115/120, Acc=0.7100, Val Loss=1.2310, lr=0.0001
[09/09 20:59:10] cifar100-global-group2-vgg19 INFO: Epoch 116/120, Acc=0.7111, Val Loss=1.2318, lr=0.0001
[09/09 21:00:58] cifar100-global-group2-vgg19 INFO: Epoch 117/120, Acc=0.7095, Val Loss=1.2279, lr=0.0001
[09/09 21:02:48] cifar100-global-group2-vgg19 INFO: Epoch 118/120, Acc=0.7108, Val Loss=1.2381, lr=0.0001
[09/09 21:04:40] cifar100-global-group2-vgg19 INFO: Epoch 119/120, Acc=0.7115, Val Loss=1.2372, lr=0.0001
[09/09 21:04:40] cifar100-global-group2-vgg19 INFO: Best Acc=0.7115
[09/09 21:04:40] cifar100-global-group2-vgg19 INFO: Loading the sparse model from run/cifar100/prune/cifar100-global-group2-vgg19/reg_cifar100_vgg19_group2_0.0007.pth...
[09/09 21:04:42] cifar100-global-group2-vgg19 INFO: Pruning...
[09/09 21:06:00] cifar100-global-group2-vgg19 INFO: VGG(
  (block0): Sequential(
    (0): Conv2d(3, 19, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(19, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU(inplace=True)
    (3): Conv2d(19, 45, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (4): BatchNorm2d(45, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (block1): Sequential(
    (0): Conv2d(45, 37, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(37, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU(inplace=True)
    (3): Conv2d(37, 101, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (4): BatchNorm2d(101, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (block2): Sequential(
    (0): Conv2d(101, 106, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(106, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU(inplace=True)
    (3): Conv2d(106, 118, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (4): BatchNorm2d(118, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU(inplace=True)
    (6): Conv2d(118, 69, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (7): BatchNorm2d(69, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU(inplace=True)
    (9): Conv2d(69, 189, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (10): BatchNorm2d(189, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (block3): Sequential(
    (0): Conv2d(189, 154, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(154, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU(inplace=True)
    (3): Conv2d(154, 144, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (4): BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU(inplace=True)
    (6): Conv2d(144, 55, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (7): BatchNorm2d(55, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU(inplace=True)
    (9): Conv2d(55, 47, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (10): BatchNorm2d(47, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (block4): Sequential(
    (0): Conv2d(47, 50, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(50, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU(inplace=True)
    (3): Conv2d(50, 51, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (4): BatchNorm2d(51, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU(inplace=True)
    (6): Conv2d(51, 115, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (7): BatchNorm2d(115, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU(inplace=True)
    (9): Conv2d(115, 34, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (10): BatchNorm2d(34, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (pool0): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (pool1): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
